frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms
1,33,1,0.7710549051407725,164.34882320094601,176.48821706640476,131.0923380042887,143.83235031931852,75.85995378475596,,28.58561043308112,0.010762810707092285,-0.034385621547698975,0.8402578234672546,0.5088486075401306,0.4427245259284973,-0.17246904969215393,,,0.012800192769032201,164.34882320094601,131.0923380042887,143.83235031931852,0.6501884758472443,0.7084231376647949,0.36750873923301697,,-0.05823466181755066,,0.04032200574874878,0.010257840156555176,0.0027489066123962402,75.85995378475596,75.85995378475596,-0.132784903049469,,rowing,unknown,0,,,,,,,finish,unknown,1,,,,,,,,,,,,medium,rowing_default,,,,,0,75.85995378475596,
2,67,1,0.7696220153011382,165.58600976499565,175.91518791684786,131.74546342627315,144.46382025224355,73.85857517724308,,28.896911204991376,0.010458831739885897,-0.0346891295530213,0.8398374981876187,0.5091764841153199,0.4424461044120881,-0.17310107073581044,,,0.012619575247752864,165.58600976499565,131.74546342627315,144.46382025224355,0.6506810236669239,0.7088013422567764,0.36767194456371577,,-0.05812031858985245,,0.03951792038580137,0.00976943732750945,0.0026617386090836146,73.85857517724308,73.85857517724308,-0.13248198901385128,,rowing,unknown,0,,,,,,,finish,unknown,2,,,,,,,,,,,,medium,rowing_default,,,,,0,73.85857517724308,
3,100,1,0.770492501091212,167.1588217445084,175.45294834637625,132.51947717964592,145.08056273664687,73.35129051578203,,29.230314643248033,0.009825252155443104,-0.034927231658810586,0.8392384592010106,0.5094216582571682,0.44233396607057246,-0.1730723753854841,,,0.012253598295008179,167.1588217445084,132.51947717964592,145.08056273664687,0.6510760275873335,0.7096672893425273,0.36776728892700306,,-0.0585912617551938,,0.03870770263382414,0.008978746469876477,0.002484073163819417,73.35129051578203,73.35129051578203,-0.13261260518197315,,rowing,finish,0,,,,,,,finish,finish,3,,,,,,,,,,,,medium,rowing_default,,,,,0,73.35129051578203,0
4,133,1,0.7682485778350383,168.32374545066153,174.47990135852905,132.8133225607335,145.37754645851368,72.38171780035123,,29.60592881272076,0.009158312991666818,-0.03515579155352294,0.8384816477626709,0.509678719002814,0.44222898009567685,-0.17269689885635728,,,0.011829127705336452,168.32374545066153,132.8133225607335,145.37754645851368,0.6514425221623544,0.7106141640850522,0.36791491584327374,,-0.05917164192269775,,0.03782309471717745,0.0077503798685122985,0.0022404620034760536,72.38171780035123,72.38171780035123,-0.13298775973531826,,rowing,finish,0,,,,,,,finish,finish,4,,,,,,,,,,,,medium,rowing_default,,,,,0,72.38171780035123,33
5,167,1,0.767530876211822,168.9669826101446,173.70363037295093,132.99730294173716,145.52273424018776,72.27282537218524,,29.845302652360314,0.008560510337766072,-0.035278619259998166,0.8373610413853956,0.5099305097404092,0.4422781908167172,-0.17217082927828192,,,0.011261297382173853,168.9669826101446,132.99730294173716,145.52273424018776,0.6518377122265064,0.7116564028949571,0.36802330725431215,,-0.05981869066845069,,0.03726298266127407,0.006558900694563203,0.0020627411739483725,72.27282537218524,72.27282537218524,-0.13356314049279452,,rowing,finish,0,,,,,,,finish,finish,5,,,,,,,,,,,,medium,rowing_default,,,,,0,72.27282537218524,67
6,200,1,0.7646836582571268,169.3760325226566,172.78481969124104,132.6975885788748,145.30860020425766,72.71164603128715,,29.755399475154945,0.008217404170850416,-0.03499754688748184,0.8358290067104196,0.5103423186367487,0.44209560789300406,-0.17161604789669974,,,0.010539501034759072,169.3760325226566,132.6975885788748,145.30860020425766,0.6524483992237131,0.7126247830248021,0.3682362380497843,,-0.06017638380108903,,0.03695480492742191,0.00557913169542375,0.0016541821197153827,72.71164603128715,72.71164603128715,-0.13420358880639519,,rowing,finish,0,,,,,,,finish,finish,6,,,,,,,,,,,,medium,rowing_default,,,,,0,72.71164603128715,100
7,233,1,0.7616058553103358,169.69007581804192,171.68739429457574,132.03926650898256,144.85888262505566,74.29503568073537,,29.235574346744084,0.007959804645081565,-0.03453085307759099,0.833513603639579,0.5107490623608711,0.44186222319980617,-0.1693422754523335,,,0.009736745339857954,169.69007581804192,132.03926650898256,144.85888262505566,0.6530907132141097,0.7133896991869113,0.3684074115076327,,-0.06029898597280159,,0.03697545683650549,0.005122818467444001,0.00102958378126031,74.29503568073537,74.29503568073537,-0.13658635511547979,,rowing,finish,0,,,,,,,finish,finish,7,,,,,,,,,,,,medium,rowing_default,,,,,0,74.29503568073537,133
8,267,1,0.7621899717487395,170.23032997950594,171.47363631340832,131.36250527882862,144.24468551128206,77.07183416150137,,28.451215781877202,0.00888764360113617,-0.033826177055852155,0.8307795352662687,0.5112725023664102,0.44144695800884026,-0.16599282340038024,,,0.009085167818997873,170.23032997950594,131.36250527882862,144.24468551128206,0.6537785693522,0.7138127102454535,0.36876643538062037,,-0.06003414089325343,,0.03716273821526593,0.005010837703157737,0.0003306984702703899,77.07183416150137,77.07183416150137,-0.14037622089969365,,rowing,finish,0,,,,,,,finish,finish,8,,,,,,,,,,,,medium,rowing_default,,,,,0,77.07183416150137,167
9,300,1,0.7605639018584043,170.57522420847639,171.27039330627713,130.55077725636946,143.4513099057244,81.06831599154754,,27.581585467930115,0.010272650897176243,-0.033012358846116883,0.8282697810343237,0.5115931549090221,0.4414284788445709,-0.16255224948380323,,,0.00866721214838808,170.57522420847639,130.55077725636946,143.4513099057244,0.6544599443807236,0.7141422640173825,0.36872636543732074,,-0.05968231963665882,,0.03759225135362463,0.005141401055367256,0.0008614794977424494,81.06831599154754,81.06831599154754,-0.14482383433124618,,rowing,finish,0,,,,,,,finish,finish,9,,,,,,,,,,,,medium,rowing_default,,,,,0,81.06831599154754,200
10,333,1,0.7535570866893977,170.53790686591526,171.50390165856587,129.60992117641825,142.58163614556264,85.20673400653146,,26.555549939780878,0.011709687131914948,-0.0323302532993553,0.8256402834935418,0.5114792509790187,0.4415399111237898,-0.15809735879574244,,,0.008795698820431673,170.53790686591526,129.60992117641825,142.58163614556264,0.6547401252417978,0.7144119350437417,0.3682183767162397,,-0.059671809801943865,,0.03795908157593632,0.004879928854058646,0.0009472288501817423,85.20673400653146,85.20673400653146,-0.1504443599454508,,rowing,finish,0,,,,,,,finish,finish,10,,,,,,,,,,,,medium,rowing_default,,,,,0,85.20673400653146,233
