frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms,pull_count,wrist_height_mean,wrist_asymmetry,knee_angle_mean,body_center_delta_x,feet_stagger_score,step_count,ankle_delta,drive_score
1,33,1,0.6801139798481017,165.82123079928294,125.05064302693698,127.42298169727246,118.44688827133967,,118.213212270254,70.847070199264,0.09543171525001526,0.06825104355812073,0.4804370328783989,0.2571115791797638,0.4736022800207138,,0.19663649797439575,,0.18909911521018002,125.05064302693698,118.44688827133967,127.42298169727246,0.33752451837062836,0.5871246159076691,0.17669863998889923,,-0.2496000975370407,,0.0032975375652313232,0.14829646050930023,0.10194126144051552,118.213212270254,118.213212270254,,-0.3438720405101776,sled_push,unknown,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,unknown,1,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,145.43593691310997,,,0,,0.19152929800736004
2,67,1,0.6910645712050609,166.2631333728487,125.04886195764405,127.46484421112734,118.04004950924157,,118.0677683513991,70.79401643459488,0.09931666685172542,0.07030515875955103,0.4791560202698787,0.257518971654962,0.4737156706199431,,0.1945457282024465,,0.18748397071800976,125.04886195764405,118.04004950924157,127.46484421112734,0.3386373331109417,0.5867972795669723,0.17640061019898226,,-0.24815994645603057,,0.0010035884169733223,0.14768979165151874,0.09898537586730088,118.0677683513991,118.0677683513991,,-0.3422766970683188,sled_push,unknown,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,unknown,2,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,145.6559976652464,0.0012810126085202045,,0,0.0016151444921702618,0.1920598356540512
3,100,1,0.6941955076763406,166.7281421867465,124.73963794885975,127.23397984493032,117.76121667386532,,116.38594005014384,70.73486171563292,0.10142238759315754,0.07192293518436707,0.47748482190729574,0.25740378780074613,0.47497810086563585,,0.19052713098792898,,0.18399302072100876,124.73963794885975,117.76121667386532,127.23397984493032,0.33950284654816626,0.5863846574398612,0.17530472905332603,,-0.24688181089169497,,0.001167851526094251,0.14562091200866537,0.09396825654744939,116.38594005014384,116.38594005014384,,-0.33997552227837396,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,3,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,145.73389006780315,0.0016711983625829485,,0,0.0034909499970010027,0.19265138284367084
4,133,1,0.6944437698693946,167.02370021647616,125.42350377459623,126.5393434868804,118.40532679389007,,114.31116430670386,70.60044507715739,0.10040567189666663,0.07259970168731988,0.4753211708268071,0.2565105666132525,0.47691984265842363,,0.1868340403643273,,0.17725031718781606,125.42350377459623,118.40532679389007,126.5393434868804,0.33997192814500615,0.5845531110829779,0.1730492050814988,,-0.24458118293797176,,0.0020325235625267743,0.13562885022268165,0.0833240102914683,114.31116430670386,114.31116430670386,,-0.3398537783231613,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,4,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,146.2236019955362,0.00216365108048866,,0,0.006742703533192701,0.1939955492284261
5,167,1,0.6984401204390451,163.18442519347653,124.16899049581035,124.4584442303615,118.32661802028105,,110.98839731693572,70.49183038019655,0.09773882038244684,0.07140492118778163,0.4725506080910952,0.25438098864227593,0.48184840886693653,,0.1821886976264372,,0.1587295963119276,124.16899049581035,118.32661802028105,124.4584442303615,0.3393039102584978,0.5873628333329683,0.16945806702605398,,-0.24805892307447053,,0.0022255639558797094,0.11535561418100801,0.0654452997398829,110.98839731693572,110.98839731693572,,-0.3388675912615484,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,5,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,143.67670784464343,0.0027705627357118567,,0,0.018520720875888463,0.19508169619803456
6,200,1,0.6994389402680099,159.95682945898145,123.44976427776207,122.96198038486465,118.13680963198165,,108.74027783414857,70.44091419881232,0.09430594311643951,0.06922464387159266,0.4696693923652883,0.25212626117586956,0.48642920225371244,,0.18003368370988715,,0.1405819343267623,123.44976427776207,118.13680963198165,122.96198038486465,0.33822101277436234,0.5894662815184598,0.16603150957737675,,-0.25124526874409747,,0.0012573928670996418,0.10058874619196805,0.05036755480875546,108.74027783414857,108.74027783414857,,-0.3396825372844493,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,6,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,141.70329686837175,0.002881215725806907,,0,0.018147661985165292,0.19559085801187678
7,233,1,0.6984504697611555,156.9951757555016,122.56074939015627,121.57421462796677,117.67791002956075,,106.66292734465785,70.42296022389984,0.09068083143183459,0.06612787927455972,0.4669410911849569,0.25024755659502773,0.4899141238397669,,0.17936057824388943,,0.12384628833098248,122.56074939015627,117.67791002956075,121.57421462796677,0.33724792547288235,0.5917848819900277,0.16324718771717311,,-0.2545369565171453,,7.413447145498964e-05,0.089038936509496,0.03832295401028296,106.66292734465785,106.66292734465785,,-0.3410848399209613,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,7,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,139.77796257282893,0.002728301180331405,,0,0.016735645995779827,0.19577039776100164
8,267,1,0.7024248390225694,153.43532126478644,122.40397413928996,119.16948796377228,117.45588575662552,,104.7436415176161,70.34496367765547,0.08703393447958604,0.06353103955406607,0.4642246389270221,0.24834996170924786,0.49314726747732207,,0.17712932619246055,,0.11040879416436913,122.40397413928996,117.45588575662552,119.16948796377228,0.33648284585880234,0.5924762415833364,0.1602170775596934,,-0.2559933957245341,,0.0009838511946516821,0.07412738766341699,0.026296546263385148,104.7436415176161,104.7436415176161,,-0.34164364702880956,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,8,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,137.9196477020382,0.0027164522579348205,,0,0.013437494166613342,0.1965503632234453
9,300,1,0.7048776269657537,150.14586894822347,122.0061605755153,117.28222981550955,117.49261614840512,,102.61392101493777,70.34258977356748,0.07976679720176914,0.06065664582499924,0.4622217577876248,0.24726864939172288,0.494594222085244,,0.17572620532594016,,0.09979284977626779,122.0061605755153,117.28222981550955,117.49261614840512,0.3360063831623209,0.5948428958883505,0.15853091562112492,,-0.2588365127260296,,0.002182713284986271,0.06166106743571511,0.01535660133769509,102.61392101493777,102.61392101493777,,-0.3436465971787512,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,9,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,136.07601476186937,0.0020028811393972834,,0,0.010615944388101345,0.1965741022643252
10,333,1,0.7049412108026445,148.78642876216733,124.33475087288593,115.52860037305913,118.71657822195554,,101.15195194828152,70.27911126431707,0.07445008827744162,0.05834305491367786,0.46085172525695356,0.24602112607324444,0.49688680198854795,,0.17470099687074966,,0.09255917839667735,124.33475087288593,115.52860037305913,118.71657822195554,0.3356201878493587,0.595497358282352,0.15642206429713018,,-0.25987717043299324,,0.0033608312786145805,0.04778539250652099,0.0004921188051160671,101.15195194828152,101.15195194828152,,-0.34584560374109635,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,10,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,136.56058981752665,0.0013700325306712502,,0,0.0072336713795904395,0.19720888735682934
